genre,time_bin,x_centered,y_centered,z_centered
edm,31.2000,1.2012,9.0053,-1.6132
edm,31.3000,1.2327,8.9304,-1.6086
edm,31.4000,0.8578,8.7900,-1.5335
edm,31.5000,1.0101,8.7856,-1.5464
edm,31.6000,0.7995,8.7964,-1.5136
edm,31.7000,1.1229,8.8994,-1.5622
edm,31.8000,1.0798,8.9965,-1.5691
edm,31.9000,0.6807,9.0408,-1.5204
edm,32.0000,0.8741,9.0830,-1.5445
edm,32.1000,0.7535,9.1120,-1.5302
edm,32.2000,1.1835,9.2042,-1.5926
edm,32.3000,1.2543,9.2228,-1.5946
edm,32.4000,0.8973,9.2332,-1.5317
edm,32.5000,1.0815,9.2674,-1.5636
edm,32.6000,0.8901,9.3281,-1.5331
edm,32.7000,1.2330,9.3804,-1.5914
edm,32.8000,1.1848,9.4467,-1.6067
edm,32.9000,0.8038,9.5456,-1.5727
edm,33.0000,0.9736,9.5970,-1.5952
edm,33.1000,0.7874,9.7166,-1.5719
edm,33.2000,1.1988,9.8391,-1.6273
edm,33.3000,1.2426,9.9198,-1.6190
edm,33.4000,0.8311,9.9868,-1.5667
edm,33.5000,0.9849,10.0413,-1.5939
edm,33.6000,0.7458,10.1427,-1.5726
edm,33.7000,1.1308,10.2396,-1.6442
edm,33.8000,1.1386,10.1901,-1.6373
edm,33.9000,0.8166,10.1322,-1.5940
edm,34.0000,1.0674,10.1223,-1.6330
edm,34.1000,0.8920,10.1268,-1.6129
edm,34.2000,1.2717,10.1660,-1.6765
edm,34.3000,1.2666,10.2143,-1.6826
edm,34.4000,0.8383,10.2850,-1.6196
edm,34.5000,1.0829,10.3096,-1.6311
edm,34.6000,0.9533,10.3363,-1.5996
edm,34.7000,1.3911,10.3696,-1.6621
edm,34.8000,1.3597,10.3997,-1.6513
edm,34.9000,0.9401,10.3999,-1.5828
edm,35.0000,1.1360,10.3919,-1.6020
edm,35.1000,1.0064,10.4166,-1.5709
edm,35.2000,1.4992,10.3948,-1.6292
edm,35.3000,1.5539,10.4305,-1.6324
edm,35.4000,1.1306,10.5087,-1.5749
edm,35.5000,1.3357,10.5772,-1.6073
edm,35.6000,1.1595,10.6037,-1.5817
edm,35.7000,1.5725,10.5706,-1.6347
edm,35.8000,1.5338,10.5509,-1.6235
